Date,MediaType,Title,Rating
15/9/2026,Movie/Musical,Nerdy Prudes Must Die,9
15/9/2026,Movie/Musical,Black Friday,1
Date Unknown,Movie/Musical,Twisted,7
Date Unknown,Movie/Musical,Nimona,6
Date Unknown,Movie/Musical,The Guy Who Didn't Like Musicals,7
Date Unknown,Show,Breaking Bad,7
Date Unknown,Show,Steven Universe,5
Date Unknown,Album,You Seem Pretty Sad For A Girl So In Love,7
